variable,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,,variable.1
solarenergy,4.012601782,3.095892222,6.265772099,108.413901,a,asolarenergya
platinumclub,-0.346339072,6.143415312,6.250748427,47.00523301,a,aplatinumcluba
uzbekistani,5.20084425,2.913818556,6.184112462,7.315665397,a,auzbekistania
fmexpodubai2527september2017,-0.134459343,4.361222692,6.107033908,97.26489108,a,afmexpodubai2527september2017a
bathroomkitchenrelatedservices,2.938415426,3.005621525,6.074243483,131.7006742,a,abathroomkitchenrelatedservicesa
11,5.206442172,1.617864627,6.030828014,99.84819977,a,a11a
interiordesignagencyother,8.416625351,-2.129380548,6.013526088,62.45127609,a,ainteriordesignagencyothera
thebig5saudijeddah2730march2017,0.991282634,3.946651068,5.946339874,101.8995784,a,athebig5saudijeddah2730march2017a
20,2.828263852,5.022690766,5.875729764,112.1298261,a,a20a
roofingcladdingglazing,3.683243457,1.693428222,5.768863416,109.4748333,a,aroofingcladdingglazinga
hvacrexposaudijeddah1517january2017,0.872345405,4.996556128,5.686068216,73.36503569,a,ahvacrexposaudijeddah1517january2017a
middleeaststonedubai2225may2017,2.311304998,3.158180803,5.663901508,105.1947813,a,amiddleeaststonedubai2225may2017a
buildingautomation,6.077553389,2.188794509,5.60823065,110.1160895,a,abuildingautomationa
bahrain,3.959170004,0.083771947,5.606561307,72.19838404,a,abahraina
ksa,3.568907126,2.054927939,5.589298869,97.99588831,a,aksaa
speaker,-3.270853091,5.673104027,5.588425388,5.460385561,a,aspeakera
windowsdoorssunprotectionsystems,4.743272004,1.023091702,5.55939157,111.4411075,a,awindowsdoorssunprotectionsystemsa
kuwait,6.470765482,-3.296852578,5.511185908,77.34609071,a,akuwaita
sudanese,-1.112111268,6.95507654,5.500726503,40.183873,a,asudanesea
french,5.688685656,2.882119386,5.496891487,32.6759536,a,afrencha
18,4.179879155,2.212314,5.486556912,153.0250146,a,a18a
gulfglassdubai2527september2017,1.916115652,2.289021905,5.462524258,91.03296861,a,agulfglassdubai2527september2017a
british,5.025151577,2.415037666,5.460089244,58.6138391,a,abritisha
workshopforbig5,-7.366993061,10.45089074,5.438136331,54.87847703,a,aworkshopforbig5a
session223nov4pm630pmuae,1.398420943,5.0952633,5.379661913,17.88955236,a,asession223nov4pm630pmuaea
flooringceilingwallfinishesotherinteriorfinishes,2.818205895,3.234000419,5.3351982,131.1762403,a,aflooringceilingwallfinishesotherinteriorfinishesa
intersolarmiddleeastdubai2527september2017,-0.263972206,3.669018658,5.257844354,91.38199532,a,aintersolarmiddleeastdubai2527september2017a
others,3.648831578,2.827959163,5.249303621,98.96554997,a,aothersa
Region.2americas,3.113974694,3.186496397,5.22405299,18.42048531,a,aRegion.2americasa
syrian,-4.566563196,9.155928442,5.174146009,82.0483245,a,asyriana
middleeastcoveringdubai2225may2017,4.710784779,1.075881308,5.17222476,107.7732825,a,amiddleeastcoveringdubai2225may2017a
itsoftware,1.928138594,3.448232367,5.166007217,33.40470401,a,aitsoftwarea
day316001700energyefficienthvacsystemsforhealthcare,6.769689626,-2.012201787,5.113184742,13.4963837,a,aday316001700energyefficienthvacsystemsforhealthcarea
tradeassociation,3.768858486,2.629959709,4.99402243,56.66871053,a,atradeassociationa
algerian,4.334884109,2.741307418,4.97077962,18.10220821,a,aalgeriana
siteinstallationequipment,6.210203849,-3.3135516,4.968638486,8.340474092,a,asiteinstallationequipmenta
delegate,3.388785345,0.653740569,4.920679835,13.63932255,a,adelegatea
day414001500meptradechallengestrendsandsolutions,6.658309926,-2.801038575,4.905672179,10.89520179,a,aday414001500meptradechallengestrendsandsolutionsa
architecturalfirm,3.372093677,1.978242328,4.87499904,65.13083547,a,aarchitecturalfirma
Region.2africa,5.558430169,-0.772557068,4.868502764,52.08457046,a,aRegion.2africaa
middleeastwasterecyclingdubai2527september2017,2.850341045,3.240262613,4.867146565,98.7604463,a,amiddleeastwasterecyclingdubai2527september2017a
day312001300bimcasestudyofofficewithwarehouse,3.082899805,1.517798634,4.818994347,12.28686548,a,aday312001300bimcasestudyofofficewithwarehousea
bahraini,-1.121389645,8.894829591,4.814904091,30.64732014,a,abahrainia
local,4.304742645,-0.092920416,4.790594058,120.5308072,a,alocala
sealantscoatingsadhesives,4.604933358,2.826454691,4.756198232,120.6191431,a,asealantscoatingsadhesivesa
subcontractor,2.163859736,2.838633893,4.728706351,49.33609181,a,asubcontractora
cameroonian,5.212722293,1.422846896,4.704607826,1.959953354,a,acamerooniana
day216001700smartconstructionarchitecture,2.754647051,3.083863739,4.542916258,14.52531759,a,aday216001700smartconstructionarchitecturea
canadian,-2.250956751,4.973961183,4.456177812,44.46488361,a,acanadiana
regional,3.174642531,1.253192449,4.406352118,103.4686579,a,aregionala
day412001300whatswrongwithbimchallengesintheadoptionofanewplanningparadigm,5.626265885,-0.32868199,4.35771421,12.08195743,a,aday412001300whatswrongwithbimchallengesintheadoptionofanewplanningparadigma
ethiopian,-0.558898896,5.445077084,4.349545274,10.46024515,a,aethiopiana
15,5.77794419,-0.585773438,4.345912818,84.6063196,a,a15a
upto1000000,4.78616874,-1.869632471,4.312773081,89.88497397,a,aupto1000000a
freeofcharge,-1.618109976,3.851460433,4.277883635,9.185277855,a,afreeofchargea
windowsdoorsfacadesdubai2527september2017,5.099899654,1.40155608,4.275229283,106.092885,a,awindowsdoorsfacadesdubai2527september2017a
upto250000,4.585528942,-0.279105252,4.274074388,77.32474838,a,aupto250000a
unemployed,1.817077037,2.835094104,4.273982158,58.26568286,a,aunemployeda
invitor,-1.958064069,4.479624427,4.244862428,101.2314218,a,ainvitora
commercialcleaninghygienedubai2527september2017,1.862923366,2.235890114,4.243033073,78.81216395,a,acommercialcleaninghygienedubai2527september2017a
outdoordesignbuildshowdubai2527september2017,4.214071298,1.950322578,4.240476828,104.9363096,a,aoutdoordesignbuildshowdubai2527september2017a
day416001700towardsleanconstructionthefutureofbimbasedprojectplanningandcontrol,1.524495743,2.816872003,4.215128986,11.64366625,a,aday416001700towardsleanconstructionthefutureofbimbasedprojectplanningandcontrola
day214001500sustainabilitybeyonddesign,1.30357126,4.115811199,4.19341579,12.96851749,a,aday214001500sustainabilitybeyonddesigna
day212001300iseveryrequestfrombusinessaproject,-0.573063803,5.274264744,4.184695882,9.395994668,a,aday212001300iseveryrequestfrombusinessaprojecta
day116001700improvingfaadeperformancethroughdesign,2.816381468,1.466454272,4.182155296,13.08055839,a,aday116001700improvingfaadeperformancethroughdesigna
day412001300institutionalizingprojectmanagement,4.366504039,-0.05837637,4.170752697,8.325066,a,aday412001300institutionalizingprojectmanagementa
pilingdrillingequipment,2.322875241,2.039727297,4.03566766,8.325765914,a,apilingdrillingequipmenta
media,5.04539224,-3.672860829,4.015203752,4.67786028,a,amediaa
thebig5northafricacasablanca2527april2017,2.19367387,2.086668544,3.966487818,82.24562371,a,athebig5northafricacasablanca2527april2017a
genericvisitor,5.301031802,-5.533793694,3.788464868,1.428795115,a,agenericvisitora
day114001500howbimistransformingtheconstructionindustry,3.158499698,0.891380911,3.786685826,14.19394481,a,aday114001500howbimistransformingtheconstructionindustrya
readymixedconcrete,4.23782967,-1.529445372,3.724529313,10.50642988,a,areadymixedconcretea
taiwanese,5.982340673,-0.700060584,3.704660218,7.026919052,a,ataiwanesea
21,2.735709467,2.332820389,3.684735146,49.22042084,a,a21a
upto50000,4.458113521,-0.368255094,3.662337666,83.85026108,a,aupto50000a
day416001700futureofretaildesignandtrends,-0.566277198,5.659399566,3.644449683,4.544725865,a,aday416001700futureofretaildesignandtrendsa
moroccan,4.48671404,0.792423674,3.559052855,18.1717882,a,amoroccana
session223nov4pm630pmkuwait,1.290360424,3.12340406,3.542085771,4.497659742,a,asession223nov4pm630pmkuwaita
none,2.238621095,2.260192203,3.533187034,50.43836056,a,anonea
session123nov11am130pmsaudiarabia,0.853484314,3.340942195,3.454291571,10.61328389,a,asession123nov11am130pmsaudiarabiaa
lithuanian,5.399274632,-0.281675446,3.424165212,4.350144167,a,alithuaniana
upto10000000,2.541708465,1.560792925,3.396249617,60.19490656,a,aupto10000000a
kenyan,2.245175867,2.104491595,3.387464643,12.60871735,a,akenyana
jordanian,3.119102052,1.059558729,3.377456225,97.06873736,a,ajordaniana
elevatorsaccesscontroldubai2527september2017,0.918912525,3.184990207,3.365094901,84.67903222,a,aelevatorsaccesscontroldubai2527september2017a
19,2.447429161,1.550435612,3.336558786,103.1201371,a,a19a
spanish,2.040950799,2.440124386,3.312157057,18.26454301,a,aspanisha
howtodobusinessinuae,-3.073259806,6.961719902,3.232331356,9.813126592,a,ahowtodobusinessinuaea
day212001300sustainabilityforclevelexecutives,4.373078232,-1.760307053,3.215809039,7.05727922,a,aday212001300sustainabilityforclevelexecutivesa
omani,1.046282214,2.73626305,3.203004052,36.8234438,a,aomania
mepcontractor,4.139950255,-0.970904791,3.181810586,45.2659119,a,amepcontractora
exteriorimprovementsrepairretrofitting,3.896282739,0.430288573,3.147938968,7.292052232,a,aexteriorimprovementsrepairretrofittinga
malaysian,0.67999293,2.985638489,3.108944014,8.8066655,a,amalaysiana
day314001500significanceofmepwhatsnextfordistrictcooling,5.207856934,-2.726802189,3.072257263,9.522037615,a,aday314001500significanceofmepwhatsnextfordistrictcoolinga
northkorean,6.10958406,-4.692203602,3.054597538,2.020913943,a,anorthkoreana
day212001300bimforcoordinationfromconcepttoconstruction,3.445862584,-0.782703206,3.040019278,15.64754586,a,aday212001300bimforcoordinationfromconcepttoconstructiona
educationtraining,1.083117517,2.698410741,3.02859278,29.13039902,a,aeducationtraininga
day112001300architecturaladvancementcreatinganiconicdevelopment,3.113417462,1.01137521,3.014052475,11.54629765,a,aday112001300architecturaladvancementcreatinganiconicdevelopmenta
day314001500recognizingpppasadriverforsustainableinfrastructureindustry,-3.494267986,5.38185858,2.97476804,7.699457229,a,aday314001500recognizingpppasadriverforsustainableinfrastructureindustrya
yesosibricossagypsumboard,2.806031963,1.141193178,2.958685518,9.668409207,a,ayesosibricossagypsumboarda
rebarrebarprocessing,2.205083691,0.598281656,2.945131902,6.152758602,a,arebarrebarprocessinga
formworkformworkaccessoriesscaffolding,1.651818705,1.679604093,2.941306096,7.970949868,a,aformworkformworkaccessoriesscaffoldinga
mozambican,2.513050846,1.426116434,2.927673737,1.356209815,a,amozambicana
palestinian,-2.072831227,6.011166462,2.927028154,45.91170775,a,apalestiniana
session223nov4pm630pmqatar,0.414791775,2.939285789,2.916707126,4.261503149,a,asession223nov4pm630pmqatara
day114001500importanceofreservefundstudiesinprotectingpropertyvalue,0.576992044,3.502603173,2.829363451,4.707159947,a,aday114001500importanceofreservefundstudiesinprotectingpropertyvaluea
day312001300efficientandsustainablecooling,1.875096043,0.869662255,2.731881472,9.817706076,a,aday312001300efficientandsustainablecoolinga
thebig5dubai2124november2016,-1.433371547,3.569474082,2.707995678,16.45184844,a,athebig5dubai2124november2016a
day214001500thebim4dmodelingthroughtheprojectlifecycle,4.691953198,-2.673022212,2.702652304,10.49076329,a,aday214001500thebim4dmodelingthroughtheprojectlifecyclea
africarenewableenergysummit45april2017,3.795916226,-2.90705791,2.702549505,4.443540896,a,aafricarenewableenergysummit45april2017a
portuguese,4.994062517,-1.560546209,2.696660604,14.29119271,a,aportuguesea
constructionchemicalsadmixtures,1.046613374,2.266552717,2.639159561,11.10495535,a,aconstructionchemicalsadmixturesa
kuwaiti,-0.654434726,4.178331464,2.598962721,27.92901291,a,akuwaitia
american,3.973723766,0.001874184,2.59456313,35.49816855,a,aamericana
day416001700logisticsplanningofconstructionprojectsforexpo2020,2.05072317,1.54042442,2.592806554,3.507086363,a,aday416001700logisticsplanningofconstructionprojectsforexpo2020a
constructionmachinery,1.605594885,1.06114951,2.569500146,12.39829715,a,aconstructionmachinerya
zimbabwean,0.008062515,2.758933609,2.562920311,1.379348253,a,azimbabweana
iraqi,-3.246962728,4.887576428,2.545921115,45.10622112,a,airaqia
brazilian,-0.672644837,3.573641185,2.532172388,5.787806982,a,abraziliana
propertydeveloper,0.542623614,2.247222527,2.518295806,47.04933383,a,apropertydevelopera
grenadian,2.513084734,0,2.513099297,0.62266722,a,agrenadiana
